Name,Album,Artist
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift
Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift
"So Long, London",THE TORTURED POETS DEPARTMENT,Taylor Swift
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift
i like the way you kiss me,i like the way you kiss me,Artemas
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,Taylor Swift
Gata Only,Gata Only,FloyyMenor
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,Taylor Swift
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT,Taylor Swift
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT,Taylor Swift
Too Sweet,Unreal Unearth: Unheard,Hozier
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,Taylor Swift
Beautiful Things,Fireworks & Rollerblades,Benson Boone
loml,THE TORTURED POETS DEPARTMENT,Taylor Swift
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,Taylor Swift
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,Taylor Swift
we can't be friends (wait for your love),eternal sunshine,Ariana Grande
The Alchemy,THE TORTURED POETS DEPARTMENT,Taylor Swift
End of Beginning,DECIDE,Djo
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT,Taylor Swift
Push Ups,Push Ups,Drake
Espresso,Espresso,Sabrina Carpenter
Clara Bow,THE TORTURED POETS DEPARTMENT,Taylor Swift
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
greedy,greedy,Tate McRae
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
Lose Control,I've Tried Everything But Therapy (Part 1),Teddy Swims
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
Cruel Summer,Lover,Taylor Swift
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
Like That,WE DON'T TRUST YOU,Future
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
Magnetic,SUPER REAL ME,ILLIT
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
Saturn,Saturn,SZA
TEXAS HOLD 'EM,COWBOY CARTER,Beyoncé
Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
Madonna,Madonna,Natanael Cano
LUNA,FERXXOCALIPSIS,Feid
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
Stick Season,Stick Season,Noah Kahan
Tell Ur Girlfriend,Tell Ur Girlfriend,Lay Bankz
Pedro,Pedro,Jaxomy
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
